OLD CENSUS,STATE,NEW_SHAPEFILE_NAME,New_Dashboard_Mapping,Population Matching
Budaun;Moradabad,Uttar Pradesh,Moradabad;Sambhal;Budaun,Moradabad;Sambhal;Badaun,Budaun;Moradabad
Bulandshahr,Uttar Pradesh,Bulandshahr,Bulandshahr,Bulandshahr 
Buldana,Maharashtra,Buldana,Buldhana,Buldana
Bundi,Rajasthan,Bundi,Bundi,Bundi
Burhanpur,Madhya Pradesh,Burhanpur,Burhanpur,Burhanpur
Buxar,Bihar,Buxar,Buxar,Buxar
Cachar,Assam,Cachar,Cachar,Cachar
Central;North,NCT of Delhi,Central,Central Delhi,Central;North
Chamba,Himachal Pradesh,Chamba,Chamba,Chamba
Chamoli,Uttarakhand,Chamoli,Chamoli,Chamoli
Champawat,Uttarakhand,Champawat,Champawat,Champawat
Champhai,Mizoram,Champhai;Khawzawl,Champhai;Aizawl East,Champhai
Chamrajnagar,Karnataka,Chamarajanagara,Chamarajanagar,Chamarajanagar
Chandauli,Uttar Pradesh,Chandauli,Chandauli,Chandauli
Chandel,Manipur,Chandel;Tengnoupal,Chandel;Tengnoupal,Chandel
Chandigarh,Chandigarh,Chandigarh,Chandigarh,Chandigarh
Chandrapur,Maharashtra,Chandrapur,Chandrapur,Chandrapur
Changlang,Arunanchal Pradesh,Changlang,Changlang,Changlang
Chatra,Jharkhand,Chatra,Chatra,Chatra
Chennai;Kancheepuram,Tamil Nadu,Kancheepuram;Chengalpattu;Chennai,Kanchipuram;Chengalpet;Chennai,Chennai;Kancheepuram
Chhatarpur,Madhya Pradesh,Chhatarpur,Chhatarpur,Chhatarpur
Chhindwara,Madhya Pradesh,Chhindwara,Chhindwara,Chhindwara
Chikkaballapura,Karnataka,Chikkaballapura,Chikkaballapur,Chikkaballapura
Chikmagalur,Karnataka,Chikkamagaluru,Chikamagalur,Chikmagalur
Chirang;Kokrajhar,Assam,Kokrajhar;Chirang,Kokrajhar;Chirang,Chirang;Kokrajhar
Chitradurga,Karnataka,Chitradurga,Chitradurga,Chitradurga
Chitrakoot,Uttar Pradesh,Chitrakoot,Chitrakoot,Chitrakoot
Chittaurgarh,Rajasthan,Chittaurgarh,Chittorgarh,Chittaurgarh
Chittoor,Andhra Pradesh,Chittoor,Chittoor,Chittoor
Churachandpur,Manipur,Churachandpur;Pherzawl,Churachandpur;Pherzawl,Churachandpur
Churu,Rajasthan,Churu,Churu,Churu
Coimbatore,Tamil Nadu,Coimbatore,Coimbatore,Coimbatore
Cuddalore,Tamil Nadu,Cuddalore,Cuddalore,Cuddalore
Y.s.r.,Andhra Pradesh,Y.S.R.,"YSR District, Kadapa (Cuddapah)",Y.S.R.
Cuttack,Odisha,Cuttack,Cuttack,Cuttack
Dadra & Nagar Haveli,Dadara & Nagar Havelli,Dadra & Nagar Haveli,Dadra and Nagar Haveli,Dadra & Nagar Haveli
Dakshin Bastar Dantewada,Chhattisgarh,Dakshin Bastar Dantewada;Sukma,Dantewada;Sukma,Dakshin Bastar Dantewada
Dakshin Dinajpur,West Bengal,Dakshin Dinajpur,Dakshin Dinajpur,Dakshin Dinajpur
Dakshina Kannada,Karnataka,Dakshina Kannada,Dakshina Kannada,Dakshina Kannada
Daman,Daman & Diu,Daman,Daman,Daman
Damoh,Madhya Pradesh,Damoh,Damoh,Damoh
Darbhanga,Bihar,Darbhanga,Darbhanga,Darbhanga
Darjiling,West Bengal,Darjiling;Kalimpong,Darjeeling;Kalimpong,Darjiling 
Darrang,Assam,Darrang,Darrang,Darrang
Datia,Madhya Pradesh,Datia,Datia,Datia
Davanagere,Karnataka,Davanagere,Davanagere,Davanagere
Debagarh,Odisha,Debagarh,Bargarh,Debagarh
Dehradun,Uttarakhand,Dehradun,Dehradun,Dehradun
Deoghar,Jharkhand,Deoghar,Deoghar,Deoghar
Deoria,Uttar Pradesh,Deoria,Deoria,Deoria
Dewas,Madhya Pradesh,Dewas,Dewas,Dewas
Dhalai,Tripura,Dhalai,Dhalai,Dhalai
Dhamtari,Chhattisgarh,Dhamtari,Dhamtari,Dhamtari 
Dhanbad,Jharkhand,Dhanbad,Dhanbad,Dhanbad
Dhar,Madhya Pradesh,Dhar,Dhar,Dhar
Dharmapuri,Tamil Nadu,Dharmapuri,Dharmapuri,Dharmapuri
Dharwad,Karnataka,Dharwad,Dharwad,Dharwad
Dhaulpur,Rajasthan,Dhaulpur,Dholpur,Dhaulpur
Dhemaji,Assam,Dhemaji,Dhemaji,Dhemaji
Dhenkanal,Odisha,Dhenkanal,Dhenkanal,Dhenkanal
Dhubri,Assam,Dhubri;South Salmara Mancachar,Dhubri;South Salmara Mankachar,Dhubri
Dhule,Maharashtra,Dhule,Dhule,Dhule
Dibang Valley;Lower Dibang Valley,Arunanchal Pradesh,Lower Dibang Valley;Upper Dibang Valley,Lower Dibang Valley;Lower Dibang Valley,Dibang Valley;Lower Dibang Valley
Dibrugarh,Assam,Dibrugarh,Dibrugarh,Dibrugarh
Dindigul,Tamil Nadu,Dindigul,Dindigul,Dindigul
Dindori,Madhya Pradesh,Dindori,Dindori,Dindori 
Diu,Daman & Diu,Diu,Diu,Diu
Doda,Jammu & Kashmir,Doda,Doda,Doda
Dohad,Gujarat,Dohad,Botad,Dohad  
Dumka,Jharkhand,Dumka,Dumka,Dumka
Dungarpur,Rajasthan,Dungarpur,Dungarpur,Dungarpur
Durg,Chhattisgarh,Durg;Bametara;Balod,Durg;Bemetara;Balod,Durg
Dimapur,Nagaland,Dimapur,Dimapur,Dimapur 
East;North East,NCT of Delhi,East;North East;Shahdara,East Delhi;North East Delhi;Shahdara,East;North East
East,Sikkim,East District,East Sikkim,East District
East Garo Hills;West Garo Hills,Meghalaya,West Garo Hills;South West Garo Hills;North Garo Hills;East Garo Hills,West Garo Hills;South West Garo Hills;North Garo Hills;East Garo Hills,East Garo Hills;West Garo Hills
East Godavari,Andhra Pradesh,East Godavari,East Godavari,East Godavari
East Kameng,Arunanchal Pradesh,East Kameng;Pakke Kessang,East Kameng;Pakke Kessang,East Kameng
East Khasi Hills,Meghalaya,East Khasi Hills,East Khasi Hills,East Khasi Hills
East Nimar,Madhya Pradesh,East Nimar,Khandwa,Khandwa (East Nimar)
East Siang;West Siang,Arunanchal Pradesh,Shi Yomi;Siang;West Siang;Lepa Rada;Lower Siang;East Siang,Shi Yomi;Siang;West Siang;Lepa Rada;Lower Siang;East Siang,East Siang;West Siang
Ernakulam;Idukki,Kerala,Ernakulam;Idukki,Ernakulam;Idukki,Ernakulam;Idukki 
Erode,Tamil Nadu,Erode,Erode,Erode
Etah,Uttar Pradesh,Etah,Etah,Etah
Etawah,Uttar Pradesh,Etawah,Etawah,Etawah
Faizabad,Uttar Pradesh,Faizabad,Ayodhya,Faizabad
Faridabad,Haryana,Faridabad,Faridabad,Faridabad
Faridkot,Punjab,Faridkot,Faridkot,Faridkot
Farrukhabad,Uttar Pradesh,Farrukhabad,Farrukhabad,Farrukhabad
Fatehabad,Haryana,Fatehabad,Fatehabad,Fatehabad
Fatehgarh Sahib,Punjab,Fatehgarh Sahib,Fatehgarh Sahib,Fatehgarh Sahib
Fatehpur,Uttar Pradesh,Fatehpur,Fatehpur,Fatehpur
Firozabad,Uttar Pradesh,Firozabad,Firozabad,Firozabad
Firozpur,Punjab,Firozpur;Fazilka,Ferozpur;Fazilka,Firozpur
Gadag,Karnataka,Gadag,Gadag,Gadag
Gajapati,Odisha,Gajapati,Gajapati,Gajapati
Ganderbal,Jammu & Kashmir,Ganderbal,Ganderbal,Ganderbal
Gandhinagar,Gujarat,Gandhinagar,Gandhinagar,Gandhinagar
Ganganagar,Rajasthan,Ganganagar,Sri Ganganagar,Ganganagar 
Ganjam,Odisha,Ganjam,Ganjam,Ganjam
Garhchiroli,Maharashtra,Gadchiroli,Gadchiroli,Gadchiroli
Garhwa,Jharkhand,Garhwa,Garhwa,Garhwa 
Garhwal,Uttarakhand,Garhwal,Pauri Garhwal,Garhwal
Gautam Buddha Nagar,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,Gautam Buddha Nagar
Gaya,Bihar,Gaya,Gaya,Gaya
Ghaziabad,Uttar Pradesh,Ghaziabad;Hapur,Ghaziabad;Hapur,Ghaziabad
Ghazipur,Uttar Pradesh,Ghazipur,Ghazipur,Ghazipur
Giridih,Jharkhand,Giridih,Giridih,Giridih
Goalpara,Assam,Goalpara,Goalpara,Goalpara
Godda,Jharkhand,Godda,Godda,Godda
Golaghat,Assam,Golaghat,Golaghat,Golaghat
Gonda,Uttar Pradesh,Gonda,Gonda,Gonda
Gondiya,Maharashtra,Gondiya,Gondia,Gondiya
Gopalganj,Bihar,Gopalganj,Gopalganj,Gopalganj
Gorakhpur,Uttar Pradesh,Gorakhpur,Gorakhpur,Gorakhpur
Gulbarga,Karnataka,Kalaburagi,Gulbarga,Gulbarga
Gumla,Jharkhand,Gumla,Gumla,Gumla
Guna,Madhya Pradesh,Guna,Guna,Guna
Guntur,Andhra Pradesh,Guntur,Guntur,Guntur
Gurdaspur,Punjab,Gurdaspur;Pathankot,Gurdaspur;Pathankot,Gurdaspur
Gurgaon,Haryana,Gurugram,Gurgaon,Gurgaon
Gwalior,Madhya Pradesh,Gwalior,Gwalior,Gwalior
Hailakandi,Assam,Hailakandi,Hailakandi,Hailakandi
Hamirpur;Hamirpur,Himachal Pradesh,Hamirpur,Hamirpur,Hamirpur;Hamirpur
Hanumangarh,Rajasthan,Hanumangarh,Hanumangarh,Hanumangarh
Haora,West Bengal,Howrah,Howrah,Haora 
Harda,Madhya Pradesh,Harda,Harda,Harda 
Hardoi,Uttar Pradesh,Hardoi,Hardoi,Hardoi
Hardwar,Uttarakhand,Hardwar,Haridwar,Hardwar
Hassan,Karnataka,Hassan,Hassan,Hassan
Mahamaya Nagar,Uttar Pradesh,Hathras,Hathras,Mahamaya Nagar
Haveri,Karnataka,Haveri,Haveri,Haveri
Hazaribagh;Kodarma,Jharkhand,Kodarma;Hazaribagh,Koderma;Hazaribagh,Hazaribagh;Kodarma
Hingoli,Maharashtra,Hingoli,Hingoli,Hingoli
Hisar,Haryana,Hisar,Hisar,Hisar
Hoshangabad,Madhya Pradesh,Hoshangabad,Hoshangabad,Hoshangabad
Hoshiarpur,Punjab,Hoshiarpur,Hoshiarpur,Hoshiarpur
Hugli,West Bengal,Hooghly,Hoogly,Hugli 
Hyderabad,Andhra Pradesh,Hyderabad,Hyderabad,Hyderabad
Imphal West,Manipur,Jiribam,Jiribam,Imphal West
Indore,Madhya Pradesh,Indore,Indore,Indore
Jabalpur,Madhya Pradesh,Jabalpur,Jabalpur,Jabalpur
Jagatsinghapur,Odisha,Jagatsinghapur,Jagatsinghpur,Jagatsinghapur 
Jaintia Hills,Meghalaya,West Jaintia Hills;East Jaintia Hills,West Jaintia Hills;East Jaintia Hills,Jaintia Hills
Jaipur,Rajasthan,Jaipur,Jaipur I,Jaipur
Jaisalmer,Rajasthan,Jaisalmer,Jaisalmer,Jaisalmer
Jajapur,Odisha,Jajapur,Jajpur,Jajapur  
Jalandhar,Punjab,Jalandhar,Jalandhar,Jalandhar
Jalaun,Uttar Pradesh,Jalaun,Jalaun,Jalaun 
Jalgaon,Maharashtra,Jalgaon,Jalgaon,Jalgaon
Jalna,Maharashtra,Jalna,Jalna,Jalna
Jalor,Rajasthan,Jalor,Jalore,Jalor
Jalpaiguri,West Bengal,Jalpaiguri;Alipurduar,Jalpaiguri;Alipurduar District,Jalpaiguri 
Jammu,Jammu & Kashmir,Jammu,Jammu,Jammu
Jamnagar,Gujarat,Jamnagar;Devbhumi Dwarka,Jamnagar;Devbhumi Dwaraka,Jamnagar
Jamtara,Jharkhand,Jamtara,Jamtara,Jamtara
Jamui,Bihar,Jamui,Jamui,Jamui
Janjgir-champa,Chhattisgarh,Janjgir - Champa,Janjgir-Champa,Janjgir - Champa
Jashpur,Chhattisgarh,Jashpur,Jashpur,Jashpur 
Jaunpur,Uttar Pradesh,Jaunpur,Jaunpur,Jaunpur
Jhabua,Madhya Pradesh,Jhabua,Jhabua,Jhabua
Jhajjar,Haryana,Jhajjar,Jhajjar,Jhajjar
Jhalawar,Rajasthan,Jhalawar,Jhalawar,Jhalawar
Jhansi,Uttar Pradesh,Jhansi,Jhansi,Jhansi
Jharsuguda,Odisha,Jharsuguda,Jharsuguda,Jharsuguda
Jhunjhunun,Rajasthan,Jhunjhunun,Jhunjhunu,Jhunjhunun
Jodhpur,Rajasthan,Jodhpur,Jodhpur,Jodhpur
Jorhat,Assam,Jorhat;Majuli,Jorhat;Majuli,Jorhat
Junagadh,Gujarat,Junagadh;Gir Somnath,Junagadh;Gir Somnath,Junagadh
Jyotiba Phule Nagar,Uttar Pradesh,Amroha,Amroha,Jyotiba Phule Nagar
Kachchh,Gujarat,Kachchh,Kutch,Kachchh
Kaimur (bhabua),Bihar,Kaimur (bhabua),Kaimur,Kaimur (Bhabua)
Kaithal,Haryana,Kaithal,Kaithal,Kaithal
Kalahandi,Odisha,Kalahandi,Kalahandi,Kalahandi
Kamrup;Kamrup Metropolitan,Assam,Kamrup;Kamrup Metropolitan,Kamrup Rural;Kamrup Metropolitan,Kamrup;Kamrup Metropolitan
Kandhamal,Odisha,Kandhamal,Kandhamal,Kandhamal
Kangra,Himachal Pradesh,Kangra,Kangra,Kangra
Uttar Bastar Kanker;Narayanpur,Chhattisgarh,Uttar Bastar Kanker;Narayanpur,Bastar;Narayanpur,Uttar Bastar Kanker;Narayanpur
Kannauj,Uttar Pradesh,Kannauj,Kannauj,Kannauj
Kanniyakumari,Tamil Nadu,Kanniyakumari,Kanyakumari,Kanniyakumari
Kannur,Kerala,Kannur,Kannur,Kannur
Kanpur Dehat,Uttar Pradesh,Kanpur Dehat,Kanpur Dehat,Kanpur Dehat
Kanpur Nagar,Uttar Pradesh,Kanpur Nagar,Kanpur Nagar,Kanpur Nagar
Kansiram Nagar,Uttar Pradesh,Kasganj,Kasganj,Kanshiram Nagar
Kapurthala,Punjab,Kapurthala,Kapurthala,Kapurthala 
Karbi Anglong,Assam,Karbi Anglong,Karbi-Anglong,Karbi Anglong
Kargil,Jammu & Kashmir,Kargil,,Kargil
Karimganj,Assam,Karimganj,Karimganj,Karimganj
Karimnagar;Khammam;Warangal,Andhra Pradesh,Jagitial;Peddapalli;Jayashankar;Karimnagar;Mulugu;Warangal Rural;Warangal Urban;Khammam;Mahabubabad;Bhadradri Kothagudem;Rajanna Sircilla,Jagtial;Peddapalli;Jayashankar Bhupalpally;Karimnagar;Mulugu;Warangal(Rural);Warangal(Urban);Khammam;Mahabubabad;Bhadradri Kothagudem;Rajanna Sircilla,Karimnagar;Khammam;Warangal
Karnal,Haryana,Karnal,Karnal,Karnal
Karur,Tamil Nadu,Karur,Karur,Karur 
Kasaragod,Kerala,Kasaragod,Kasaragod,Kasaragod
Kathua,Jammu & Kashmir,Kathua,Kathua,Kathua
Katihar,Bihar,Katihar,Katihar,Katihar
Katni,Madhya Pradesh,Katni,Katni,Katni 
Kaushambi,Uttar Pradesh,Kaushambi,Kaushambi,Kaushambi
Kendrapara,Odisha,Kendrapara,Kendrapara,Kendrapara 
Kendujhar,Odisha,Kendujhar,Kendujhar,Kendujhar
Khagaria,Bihar,Khagaria,Khagaria,Khagaria
Kheda,Gujarat,Kheda,Kheda,Kheda
Kheri,Uttar Pradesh,Kheri,Deoria,Kheri
Khordha,Odisha,Khordha,Khurda,Khordha 
Khunti,Jharkhand,Khunti,Khunti,Khunti
Kinnaur,Himachal Pradesh,Kinnaur,Kinnaur,Kinnaur
Kiphire,Nagaland,Kiphire,Kiphire,Kiphire
Kishanganj,Bihar,Kishanganj,Kishanganj,Kishanganj
Kishtwar,Jammu & Kashmir,Kishtwar,Kishtwar,Kishtwar
Koch Bihar,West Bengal,Cooch Behar,Cooch Behar,Koch Bihar 
Kodagu,Karnataka,Kodagu,Kodagu,Kodagu
Kohima;Phek;Zunheboto,Nagaland,Phek;Zunheboto;Kohima,Phek;Zunheboto;Kohima,Kohima;Phek;Zunheboto
Kolar,Karnataka,Kolar,Kolar,Kolar
Kolasib,Mizoram,Kolasib,Kolasib,Kolasib
Kolhapur,Maharashtra,Kolhapur,Kolhapur,Kolhapur
Kolkata,West Bengal,Kolkata,Kolkata,Kolkata
Kollam,Kerala,Kollam,Kollam,Kollam
Koppal,Karnataka,Koppal,Koppal,Koppal
Koraput,Odisha,Koraput,Koraput,Koraput
Korba,Chhattisgarh,Korba,Korba,Korba 
Koriya,Chhattisgarh,Koriya,Koriya,Koriya
Kota,Rajasthan,Kota,Kota,Kota
Kottayam,Kerala,Kottayam,Kottayam,Kottayam
Kozhikode,Kerala,Kozhikode,Kozhikode,Kozhikode
Krishna,Andhra Pradesh,Krishna,Krishna,Krishna
Krishnagiri,Tamil Nadu,Krishnagiri,Krishnagiri,Krishnagiri
Kulgam,Jammu & Kashmir,Kulgam,Kulgam,Kulgam
Kullu,Himachal Pradesh,Kullu,Kullu,Kullu
Kupwara,Jammu & Kashmir,Kupwara,Kupwara,Kupwara
Kurnool,Andhra Pradesh,Kurnool,Kurnool,Kurnool
Kurukshetra,Haryana,Kurukshetra,Kurukshetra,Kurukshetra
Kurung Kumey,Arunanchal Pradesh,Kurung Kumey;Kra Daadi,Kurung Kumey;Kra Daadi,Kurung Kumey
Kushinagar,Uttar Pradesh,Kushinagar,Kushinagar,Kushinagar
Lahul & Spiti,Himachal Pradesh,Lahul & Spiti,Lahaul Spiti,Lahul & Spiti
Lakhimpur,Assam,Lakhimpur,Lakhimpur,Lakhimpur
Lakhisarai,Bihar,Lakhisarai,Lakhisarai,Lakhisarai
Lalitpur,Uttar Pradesh,Lalitpur,Lalitpur,Lalitpur
Latehar,Jharkhand,Latehar,Latehar,Latehar
Latur,Maharashtra,Latur,Latur,Latur
Lawangtlai;Saiha,Mizoram,Lawngtlai;Saiha,Lawngtlai;Siaha,Lawngtlai;Saiha
Leh (ladakh),Jammu & Kashmir,Leh,,Leh(Ladakh)
Lohardaga,Jharkhand,Lohardaga,Lohardaga,Lohardaga
Lohit,Arunanchal Pradesh,Lohit;Namsai,Lohit;Namsai,Lohit
Longleng,Nagaland,Longleng,Longleng,Longleng
Lower Subansiri,Arunanchal Pradesh,Kamle;Lower Subansiri,Kamle;Lower Subansiri,Lower Subansiri
Lucknow,Uttar Pradesh,Lucknow,Lucknow,Lucknow
Ludhiana,Punjab,Ludhiana,Ludhiana,Ludhiana
Lunglei,Mizoram,Lunglei;Hnahthial,Lunglei;Lunglei,Lunglei
Madhepura,Bihar,Madhepura,Madhepura,Madhepura
Madhubani,Bihar,Madhubani,Madhubani,Madhubani
Madurai,Tamil Nadu,Madurai,Madurai,Madurai
Maharajganj,Uttar Pradesh,Mahrajganj,Maharajganj,Mahrajganj
Mahasamund,Chhattisgarh,Mahasamund,Mahasamund,Mahasamund
Mahbubnagar;Rangareddy,Andhra Pradesh,Jogulamba Gadwal;Wanaparthy;Nagarkurnool;Ranga Reddy;Narayanpet;Mahabubnagar;Nagarkurnool;Medchal Malkajgiri,Jogulamba Gadwal;Wanaparthy;Nagarkurnool;Rangareddy;Narayanpet;Mahabubnagar;Nagarkurnool;Medchal,Mahbubnagar;Rangareddy
Mahe,Puducherry,Mahe,Mahe,Mahe
Mahendragarh,Haryana,Mahendragarh,Mahendragarh,Mahendragarh
Mahesana,Gujarat,Mahesana,Mehsana,Mahesana
Mahoba,Uttar Pradesh,Mahoba,Mahoba,Mahoba
Mainpuri,Uttar Pradesh,Mainpuri,Mainpuri,Mainpuri
Malappuram,Kerala,Malappuram,Malappuram,Malappuram
Maldah,West Bengal,Maldah,Malda,Maldah 
Malkangiri,Odisha,Malkangiri,Malkangiri,Malkangiri  
Mamit,Mizoram,Mamit,Mamit,Mamit
Mandi,Himachal Pradesh,Mandi,Mandi,Mandi
Mandla,Madhya Pradesh,Mandla,Mandla,Mandla
Mandsaur,Madhya Pradesh,Mandsaur,Mandsaur,Mandsaur
Mandya,Karnataka,Mandya,Mandya,Mandya
Mansa,Punjab,Mansa,Mansa,Mansa
Marigaon,Assam,Morigaon,Morigaon,Morigaon
Mathura,Uttar Pradesh,Mathura,Mathura,Mathura
Mau,Uttar Pradesh,Mau,Mau,Mau
Mayurbhanj,Odisha,Mayurbhanj,Mayurbhanj,Mayurbhanj
Medak,Andhra Pradesh,Medak;Sangareddy;Sangareddy,Medak;Sangareddy;Sangareddy,Medak
Meerut,Uttar Pradesh,Meerut,Meerut,Meerut
Mewat;Rewari,Haryana,Rewari,Rewari,Mewat ;Rewari
Mirzapur,Uttar Pradesh,Mirzapur,Mirzapur,Mirzapur
Moga,Punjab,Moga,Moga,Moga
Mokokchung,Nagaland,Mokokchung,Mokokchung,Mokokchung
Mon;Tuensang,Nagaland,Mon;Tuensang,Mon;Tuensang,Mon;Tuensang
Morena,Madhya Pradesh,Morena,Morena,Morena
Muktsar,Punjab,Sri Muktsar Sahib,Sri Muktsar Sahib,Muktsar
Mumbai,Maharashtra,Mumbai,Mumbai,Mumbai
Mumbai Suburban,Maharashtra,Mumbai Suburban,Mumbai,Mumbai Suburban
Munger,Bihar,Munger,Munger,Munger
Murshidabad,West Bengal,Murshidabad,Murshidabad,Murshidabad 
Muzaffarnagar,Uttar Pradesh,Muzaffarnagar;Shamli,Muzaffarnagar;Shamli,Muzaffarnagar
Muzaffarpur,Bihar,Muzaffarpur,Muzaffarpur,Muzaffarpur
Mysore,Karnataka,Mysuru,Mysore,Mysore
Nabarangapur,Odisha,Nabarangapur,Nabarangpur,Nabarangapur 
Nadia,West Bengal,Nadia,Nadia,Nadia 
